Task 1- Release:  0.100, Completion:  0.196, Response: 0.096, WCRT: 0.096, Next Release:  0.400
Task 2- Release:  0.100, Completion:  0.294, Response: 0.194, WCRT: 0.194, Next Release:  0.500
Task 3- Release:  0.100, Completion:  0.391, Response: 0.291, WCRT: 0.291, Next Release:  0.700
Task 1- Release:  0.400, Completion:  0.497, Response: 0.097, WCRT: 0.097, Next Release:  0.700
Task 2- Release:  0.500, Completion:  0.597, Response: 0.097, WCRT: 0.194, Next Release:  0.900
Task 1- Release:  0.700, Completion:  0.795, Response: 0.095, WCRT: 0.097, Next Release:  1.000
Task 3- Release:  0.700, Completion:  0.892, Response: 0.192, WCRT: 0.291, Next Release:  1.300
Task 2- Release:  0.900, Completion:  0.997, Response: 0.097, WCRT: 0.194, Next Release:  1.300
Task 1- Release:  1.000, Completion:  1.112, Response: 0.112, WCRT: 0.112, Next Release:  1.300
Task 4- Release:  0.100, Completion:  1.180, Response: 1.080, WCRT: 1.080, Next Release:  1.300

Task 1- Release:  1.300, Completion:  1.396, Response: 0.096, WCRT: 0.112, Next Release:  1.600
Task 2- Release:  1.300, Completion:  1.493, Response: 0.193, WCRT: 0.194, Next Release:  1.700
Task 3- Release:  1.300, Completion:  1.590, Response: 0.290, WCRT: 0.291, Next Release:  1.900
Task 1- Release:  1.600, Completion:  1.697, Response: 0.097, WCRT: 0.112, Next Release:  1.900
Task 2- Release:  1.700, Completion:  1.797, Response: 0.097, WCRT: 0.194, Next Release:  2.100
Task 1- Release:  1.900, Completion:  1.995, Response: 0.095, WCRT: 0.112, Next Release:  2.200
Task 3- Release:  1.900, Completion:  2.092, Response: 0.192, WCRT: 0.291, Next Release:  2.500
Task 2- Release:  2.100, Completion:  2.197, Response: 0.097, WCRT: 0.194, Next Release:  2.500
Task 1- Release:  2.200, Completion:  2.297, Response: 0.097, WCRT: 0.112, Next Release:  2.500
Task 4- Release:  1.300, Completion:  2.364, Response: 1.064, WCRT: 1.080, Next Release:  2.500

Task 1- Release:  2.500, Completion:  2.596, Response: 0.096, WCRT: 0.112, Next Release:  2.800
Task 2- Release:  2.500, Completion:  2.694, Response: 0.194, WCRT: 0.194, Next Release:  2.900
Task 3- Release:  2.500, Completion:  2.791, Response: 0.291, WCRT: 0.291, Next Release:  3.100
Task 1- Release:  2.800, Completion:  2.897, Response: 0.097, WCRT: 0.112, Next Release:  3.100
Task 2- Release:  2.900, Completion:  2.997, Response: 0.097, WCRT: 0.194, Next Release:  3.300
Task 1- Release:  3.100, Completion:  3.195, Response: 0.095, WCRT: 0.112, Next Release:  3.400
Task 3- Release:  3.100, Completion:  3.293, Response: 0.193, WCRT: 0.291, Next Release:  3.700
Task 2- Release:  3.300, Completion:  3.398, Response: 0.098, WCRT: 0.194, Next Release:  3.700
Task 1- Release:  3.400, Completion:  3.497, Response: 0.097, WCRT: 0.112, Next Release:  3.700
Task 4- Release:  2.500, Completion:  3.567, Response: 1.067, WCRT: 1.080, Next Release:  3.700

Task 1- Release:  3.700, Completion:  3.796, Response: 0.096, WCRT: 0.112, Next Release:  4.000
Task 2- Release:  3.700, Completion:  3.894, Response: 0.194, WCRT: 0.194, Next Release:  4.100
Task 3- Release:  3.700, Completion:  3.991, Response: 0.291, WCRT: 0.291, Next Release:  4.300
Task 1- Release:  4.000, Completion:  4.097, Response: 0.097, WCRT: 0.112, Next Release:  4.300
Task 2- Release:  4.100, Completion:  4.198, Response: 0.098, WCRT: 0.194, Next Release:  4.500
Task 1- Release:  4.300, Completion:  4.395, Response: 0.095, WCRT: 0.112, Next Release:  4.600
Task 3- Release:  4.300, Completion:  4.493, Response: 0.193, WCRT: 0.291, Next Release:  4.900
Task 2- Release:  4.500, Completion:  4.598, Response: 0.098, WCRT: 0.194, Next Release:  4.900
Task 1- Release:  4.600, Completion:  4.697, Response: 0.097, WCRT: 0.112, Next Release:  4.900
Task 4- Release:  3.700, Completion:  4.768, Response: 1.068, WCRT: 1.080, Next Release:  4.900

Task 1- Release:  4.900, Completion:  4.996, Response: 0.096, WCRT: 0.112, Next Release:  5.200
Task 2- Release:  4.900, Completion:  5.094, Response: 0.194, WCRT: 0.194, Next Release:  5.300
Task 3- Release:  4.900, Completion:  5.191, Response: 0.291, WCRT: 0.291, Next Release:  5.500
Task 1- Release:  5.200, Completion:  5.298, Response: 0.098, WCRT: 0.112, Next Release:  5.500
Task 2- Release:  5.300, Completion:  5.398, Response: 0.098, WCRT: 0.194, Next Release:  5.700
Task 1- Release:  5.500, Completion:  5.595, Response: 0.095, WCRT: 0.112, Next Release:  5.800
Task 3- Release:  5.500, Completion:  5.693, Response: 0.193, WCRT: 0.291, Next Release:  6.100
Task 2- Release:  5.700, Completion:  5.797, Response: 0.097, WCRT: 0.194, Next Release:  6.100
Task 1- Release:  5.800, Completion:  5.897, Response: 0.097, WCRT: 0.112, Next Release:  6.100
Task 4- Release:  4.900, Completion:  5.968, Response: 1.068, WCRT: 1.080, Next Release:  6.100

Task 1- Release:  6.100, Completion:  6.197, Response: 0.097, WCRT: 0.112, Next Release:  6.400
Task 2- Release:  6.100, Completion:  6.294, Response: 0.194, WCRT: 0.194, Next Release:  6.500
Task 3- Release:  6.100, Completion:  6.391, Response: 0.291, WCRT: 0.291, Next Release:  6.700
Task 1- Release:  6.400, Completion:  6.498, Response: 0.098, WCRT: 0.112, Next Release:  6.700
Task 2- Release:  6.500, Completion:  6.597, Response: 0.097, WCRT: 0.194, Next Release:  6.900
Task 1- Release:  6.700, Completion:  6.795, Response: 0.095, WCRT: 0.112, Next Release:  7.000
Task 3- Release:  6.700, Completion:  6.893, Response: 0.193, WCRT: 0.291, Next Release:  7.300
Task 2- Release:  6.900, Completion:  6.998, Response: 0.098, WCRT: 0.194, Next Release:  7.300
Task 1- Release:  7.000, Completion:  7.112, Response: 0.112, WCRT: 0.112, Next Release:  7.300
Task 4- Release:  6.100, Completion:  7.185, Response: 1.085, WCRT: 1.085, Next Release:  7.300

Task 1- Release:  7.300, Completion:  7.397, Response: 0.097, WCRT: 0.112, Next Release:  7.600
Task 2- Release:  7.300, Completion:  7.494, Response: 0.194, WCRT: 0.194, Next Release:  7.700
Task 3- Release:  7.300, Completion:  7.592, Response: 0.292, WCRT: 0.292, Next Release:  7.900
Task 1- Release:  7.600, Completion:  7.697, Response: 0.097, WCRT: 0.112, Next Release:  7.900
Task 2- Release:  7.700, Completion:  7.797, Response: 0.097, WCRT: 0.194, Next Release:  8.100
Task 1- Release:  7.900, Completion:  7.995, Response: 0.095, WCRT: 0.112, Next Release:  8.200
Task 3- Release:  7.900, Completion:  8.093, Response: 0.193, WCRT: 0.292, Next Release:  8.500
Task 2- Release:  8.100, Completion:  8.197, Response: 0.097, WCRT: 0.194, Next Release:  8.500
Task 1- Release:  8.200, Completion:  8.297, Response: 0.097, WCRT: 0.112, Next Release:  8.500
Task 4- Release:  7.300, Completion:  8.369, Response: 1.069, WCRT: 1.085, Next Release:  8.500

Task 1- Release:  8.500, Completion:  8.597, Response: 0.097, WCRT: 0.112, Next Release:  8.800
Task 2- Release:  8.500, Completion:  8.694, Response: 0.194, WCRT: 0.194, Next Release:  8.900
Task 3- Release:  8.500, Completion:  8.791, Response: 0.291, WCRT: 0.292, Next Release:  9.100
Task 1- Release:  8.800, Completion:  8.898, Response: 0.098, WCRT: 0.112, Next Release:  9.100
Task 2- Release:  8.900, Completion:  8.998, Response: 0.097, WCRT: 0.194, Next Release:  9.300
Task 1- Release:  9.100, Completion:  9.196, Response: 0.096, WCRT: 0.112, Next Release:  9.400
Task 3- Release:  9.100, Completion:  9.294, Response: 0.194, WCRT: 0.292, Next Release:  9.700
Task 2- Release:  9.300, Completion:  9.398, Response: 0.097, WCRT: 0.194, Next Release:  9.700
Task 1- Release:  9.400, Completion:  9.498, Response: 0.098, WCRT: 0.112, Next Release:  9.700
Task 4- Release:  8.500, Completion:  9.571, Response: 1.071, WCRT: 1.085, Next Release:  9.700

Task 1- Release:  9.700, Completion:  9.796, Response: 0.096, WCRT: 0.112, Next Release: 10.000
Task 2- Release:  9.700, Completion:  9.894, Response: 0.194, WCRT: 0.194, Next Release: 10.100
Task 3- Release:  9.700, Completion:  9.991, Response: 0.291, WCRT: 0.292, Next Release: 10.300
Task 1- Release: 10.000, Completion: 10.098, Response: 0.098, WCRT: 0.112, Next Release: 10.300
Task 2- Release: 10.100, Completion: 10.198, Response: 0.098, WCRT: 0.194, Next Release: 10.500
Task 1- Release: 10.300, Completion: 10.395, Response: 0.095, WCRT: 0.112, Next Release: 10.600
Task 3- Release: 10.300, Completion: 10.493, Response: 0.193, WCRT: 0.292, Next Release: 10.900
Task 2- Release: 10.500, Completion: 10.597, Response: 0.097, WCRT: 0.194, Next Release: 10.900
Task 1- Release: 10.600, Completion: 10.698, Response: 0.098, WCRT: 0.112, Next Release: 10.900
Task 4- Release:  9.700, Completion: 10.770, Response: 1.070, WCRT: 1.085, Next Release: 10.900

Task 1- Release: 10.900, Completion: 10.997, Response: 0.097, WCRT: 0.112, Next Release: 11.200
Task 2- Release: 10.900, Completion: 11.095, Response: 0.195, WCRT: 0.195, Next Release: 11.300
Task 3- Release: 10.900, Completion: 11.192, Response: 0.292, WCRT: 0.292, Next Release: 11.500
Task 1- Release: 11.200, Completion: 11.297, Response: 0.097, WCRT: 0.112, Next Release: 11.500
Task 2- Release: 11.300, Completion: 11.397, Response: 0.097, WCRT: 0.195, Next Release: 11.700
Task 1- Release: 11.500, Completion: 11.596, Response: 0.096, WCRT: 0.112, Next Release: 11.800
Task 3- Release: 11.500, Completion: 11.693, Response: 0.193, WCRT: 0.292, Next Release: 12.100
Task 2- Release: 11.700, Completion: 11.798, Response: 0.098, WCRT: 0.195, Next Release: 12.100
Task 1- Release: 11.800, Completion: 11.897, Response: 0.097, WCRT: 0.112, Next Release: 12.100
Task 4- Release: 10.900, Completion: 11.970, Response: 1.070, WCRT: 1.085, Next Release: 12.100

Task 1- Release: 12.100, Completion: 12.196, Response: 0.096, WCRT: 0.112, Next Release: 12.400
Task 2- Release: 12.100, Completion: 12.294, Response: 0.194, WCRT: 0.195, Next Release: 12.500
Task 3- Release: 12.100, Completion: 12.391, Response: 0.291, WCRT: 0.292, Next Release: 12.700
Task 1- Release: 12.400, Completion: 12.498, Response: 0.098, WCRT: 0.112, Next Release: 12.700
Task 2- Release: 12.500, Completion: 12.598, Response: 0.098, WCRT: 0.195, Next Release: 12.900
Task 1- Release: 12.700, Completion: 12.796, Response: 0.096, WCRT: 0.112, Next Release: 13.000
Task 3- Release: 12.700, Completion: 12.894, Response: 0.194, WCRT: 0.292, Next Release: 13.300
Task 2- Release: 12.900, Completion: 12.998, Response: 0.098, WCRT: 0.195, Next Release: 13.300
Task 1- Release: 13.000, Completion: 13.112, Response: 0.112, WCRT: 0.112, Next Release: 13.300
Task 4- Release: 12.100, Completion: 13.188, Response: 1.088, WCRT: 1.088, Next Release: 13.300

Task 1- Release: 13.300, Completion: 13.397, Response: 0.097, WCRT: 0.112, Next Release: 13.600
Task 2- Release: 13.300, Completion: 13.494, Response: 0.194, WCRT: 0.195, Next Release: 13.700
Task 3- Release: 13.300, Completion: 13.592, Response: 0.292, WCRT: 0.292, Next Release: 13.900
Task 1- Release: 13.600, Completion: 13.698, Response: 0.098, WCRT: 0.112, Next Release: 13.900
Task 2- Release: 13.700, Completion: 13.798, Response: 0.098, WCRT: 0.195, Next Release: 14.100
Task 1- Release: 13.900, Completion: 13.995, Response: 0.095, WCRT: 0.112, Next Release: 14.200
Task 3- Release: 13.900, Completion: 14.093, Response: 0.193, WCRT: 0.292, Next Release: 14.500
Task 2- Release: 14.100, Completion: 14.198, Response: 0.098, WCRT: 0.195, Next Release: 14.500
Task 1- Release: 14.200, Completion: 14.297, Response: 0.097, WCRT: 0.112, Next Release: 14.500
Task 4- Release: 13.300, Completion: 14.371, Response: 1.071, WCRT: 1.088, Next Release: 14.500

Task 1- Release: 14.500, Completion: 14.597, Response: 0.097, WCRT: 0.112, Next Release: 14.800
Task 2- Release: 14.500, Completion: 14.695, Response: 0.195, WCRT: 0.195, Next Release: 14.900
Task 3- Release: 14.500, Completion: 14.793, Response: 0.293, WCRT: 0.293, Next Release: 15.100
Task 1- Release: 14.800, Completion: 14.898, Response: 0.098, WCRT: 0.112, Next Release: 15.100
Task 2- Release: 14.900, Completion: 14.998, Response: 0.098, WCRT: 0.195, Next Release: 15.300
Task 1- Release: 15.100, Completion: 15.196, Response: 0.096, WCRT: 0.112, Next Release: 15.400
Task 3- Release: 15.100, Completion: 15.293, Response: 0.193, WCRT: 0.293, Next Release: 15.700
Task 2- Release: 15.300, Completion: 15.398, Response: 0.098, WCRT: 0.195, Next Release: 15.700
Task 1- Release: 15.400, Completion: 15.498, Response: 0.098, WCRT: 0.112, Next Release: 15.700
Task 4- Release: 14.500, Completion: 15.574, Response: 1.073, WCRT: 1.088, Next Release: 15.700

Task 1- Release: 15.700, Completion: 15.798, Response: 0.098, WCRT: 0.112, Next Release: 16.000
Task 2- Release: 15.700, Completion: 15.895, Response: 0.195, WCRT: 0.195, Next Release: 16.100
Task 3- Release: 15.700, Completion: 15.993, Response: 0.293, WCRT: 0.293, Next Release: 16.300
Task 1- Release: 16.000, Completion: 16.098, Response: 0.098, WCRT: 0.112, Next Release: 16.300
Task 2- Release: 16.100, Completion: 16.198, Response: 0.098, WCRT: 0.195, Next Release: 16.500
Task 1- Release: 16.300, Completion: 16.396, Response: 0.096, WCRT: 0.112, Next Release: 16.600
Task 3- Release: 16.300, Completion: 16.493, Response: 0.193, WCRT: 0.293, Next Release: 16.900
Task 2- Release: 16.500, Completion: 16.598, Response: 0.098, WCRT: 0.195, Next Release: 16.900
Task 1- Release: 16.600, Completion: 16.698, Response: 0.098, WCRT: 0.112, Next Release: 16.900
