//Hyperperiod 1 Right
Task 1- Release:  0.100, Completion:  0.195, Response: 0.095, WCRT: 0.095, Next Release:  0.400
Task 2- Release:  0.100, Completion:  0.277, Response: 0.177, WCRT: 0.177, Next Release:  0.500
Task 3- Release:  0.100, Completion:  0.360, Response: 0.260, WCRT: 0.260, Next Release:  0.700
Task 1- Release:  0.400, Completion:  0.492, Response: 0.092, WCRT: 0.095, Next Release:  0.700
Task 2- Release:  0.500, Completion:  0.577, Response: 0.077, WCRT: 0.177, Next Release:  0.900
Task 1- Release:  0.700, Completion:  0.790, Response: 0.090, WCRT: 0.095, Next Release:  1.000
Task 3- Release:  0.700, Completion:  0.869, Response: 0.169, WCRT: 0.260, Next Release:  1.300
Task 2- Release:  0.900, Completion:  0.986, Response: 0.086, WCRT: 0.177, Next Release:  1.300
Task 1- Release:  1.000, Completion:  1.085, Response: 0.085, WCRT: 0.095, Next Release:  1.300

//Hyperperiod 2 Right
Task 1- Release:  1.300, Completion:  1.386, Response: 0.086, WCRT: 0.095, Next Release:  1.600
Task 2- Release:  1.300, Completion:  1.471, Response: 0.171, WCRT: 0.177, Next Release:  1.700
Task 3- Release:  1.300, Completion:  1.560, Response: 0.260, WCRT: 0.260, Next Release:  1.900
Task 1- Release:  1.600, Completion:  1.687, Response: 0.087, WCRT: 0.095, Next Release:  1.900
Task 2- Release:  1.700, Completion:  1.788, Response: 0.088, WCRT: 0.177, Next Release:  2.100
Task 1- Release:  1.900, Completion:  1.981, Response: 0.081, WCRT: 0.095, Next Release:  2.200
Task 3- Release:  1.900, Completion:  2.064, Response: 0.164, WCRT: 0.260, Next Release:  2.500
Task 2- Release:  2.100, Completion:  2.186, Response: 0.086, WCRT: 0.177, Next Release:  2.500
Task 1- Release:  2.200, Completion:  2.285, Response: 0.085, WCRT: 0.095, Next Release:  2.500

//Hyperperiod 3 Right
Task 1- Release:  2.500, Completion:  2.589, Response: 0.089, WCRT: 0.095, Next Release:  2.800
Task 2- Release:  2.500, Completion:  2.671, Response: 0.171, WCRT: 0.177, Next Release:  2.900
Task 3- Release:  2.500, Completion:  2.752, Response: 0.252, WCRT: 0.260, Next Release:  3.100
Task 1- Release:  2.800, Completion:  2.884, Response: 0.084, WCRT: 0.095, Next Release:  3.100
Task 2- Release:  2.900, Completion:  2.983, Response: 0.083, WCRT: 0.177, Next Release:  3.300
Task 1- Release:  3.100, Completion:  3.188, Response: 0.088, WCRT: 0.095, Next Release:  3.400
Task 3- Release:  3.100, Completion:  3.270, Response: 0.170, WCRT: 0.260, Next Release:  3.700
Task 2- Release:  3.300, Completion:  3.382, Response: 0.081, WCRT: 0.177, Next Release:  3.700
Task 1- Release:  3.400, Completion:  3.482, Response: 0.082, WCRT: 0.095, Next Release:  3.700

//Hyperperiod 4 Right
