Task 1- Release:  0.100, Completion:  0.202, Response: 0.102, WCRT: 0.102, Next Release:  0.400
Task 2- Release:  0.100, Completion:  0.304, Response: 0.204, WCRT: 0.204, Next Release:  0.500
Task 1- Release:  0.400, Completion:  0.502, Response: 0.102, WCRT: 0.102, Next Release:  0.700
Task 2- Release:  0.500, Completion:  0.604, Response: 0.104, WCRT: 0.204, Next Release:  0.900
Task 3- Release:  0.100, Completion:  0.609, Response: 0.509, WCRT: 0.509, Next Release:  0.700
Task 1- Release:  0.700, Completion:  0.802, Response: 0.102, WCRT: 0.102, Next Release:  1.000
Task 1- Release:  1.000, Completion:  1.102, Response: 0.102, WCRT: 0.102, Next Release:  1.300
Task 2- Release:  0.900, Completion:  1.104, Response: 0.204, WCRT: 0.204, Next Release:  1.300
Task 3- Release:  0.700, Completion:  1.109, Response: 0.409, WCRT: 0.509, Next Release:  1.300
Task 4- Release:  0.100, Completion:  1.271, Response: 1.171, WCRT: 1.171, Next Release:  1.300
Task 5- Release:  0.100, Completion:  1.272, Response: 1.172, WCRT: 1.172, Next Release:  1.300
Task 1- Release:  1.300, Completion:  1.404, Response: 0.104, WCRT: 0.104, Next Release:  1.600
Task 2- Release:  1.300, Completion:  1.506, Response: 0.206, WCRT: 0.206, Next Release:  1.700
Task 1- Release:  1.600, Completion:  1.702, Response: 0.102, WCRT: 0.104, Next Release:  1.900
Task 2- Release:  1.700, Completion:  1.805, Response: 0.105, WCRT: 0.206, Next Release:  2.100
Task 3- Release:  1.300, Completion:  1.813, Response: 0.513, WCRT: 0.513, Next Release:  1.900
Task 1- Release:  1.900, Completion:  2.002, Response: 0.102, WCRT: 0.104, Next Release:  2.200
Task 1- Release:  2.200, Completion:  2.303, Response: 0.103, WCRT: 0.104, Next Release:  2.500
Task 2- Release:  2.100, Completion:  2.327, Response: 0.227, WCRT: 0.227, Next Release:  2.500
Task 3- Release:  1.900, Completion:  2.332, Response: 0.432, WCRT: 0.513, Next Release:  2.500
Task 4- Release:  1.300, Completion:  2.452, Response: 1.152, WCRT: 1.171, Next Release:  2.500
Task 5- Release:  1.300, Completion:  2.453, Response: 1.153, WCRT: 1.172, Next Release:  2.500
Task 1- Release:  2.500, Completion:  2.604, Response: 0.104, WCRT: 0.104, Next Release:  2.800
Task 2- Release:  2.500, Completion:  2.708, Response: 0.208, WCRT: 0.227, Next Release:  2.900
Task 1- Release:  2.800, Completion:  2.903, Response: 0.103, WCRT: 0.104, Next Release:  3.100
Task 2- Release:  2.900, Completion:  3.005, Response: 0.105, WCRT: 0.227, Next Release:  3.300
Task 3- Release:  2.500, Completion:  3.016, Response: 0.516, WCRT: 0.516, Next Release:  3.100
Task 1- Release:  3.100, Completion:  3.208, Response: 0.108, WCRT: 0.108, Next Release:  3.400
Task 1- Release:  3.400, Completion:  3.503, Response: 0.103, WCRT: 0.108, Next Release:  3.700
